NIP,P6_1_01,P6_1_02,P6_1_03,P6_1_04,P6_1_05,P6_1_06,P6_1_07,P6_1_08,P6_1_09,P6_1_10,P6_2_1,P6_3A_1,P6_3B_1,P6_3C_1,P6_3D_1,P6_2_2,P6_3A_2,P6_3B_2,P6_3C_2,P6_3D_2,P6_2_3,P6_3A_3,P6_3B_3,P6_3C_3,P6_3D_3,P6_4_1,P6_4_2,P6_4_3,P6_4_4,P6_5_1,P6_5_2,P6_5_3,P6_5_4,P6_5_5,P6_6_1,P6_6_2,P6_6_3,P6_6_4,P6_6_5,P6_6_6,P6_6_7,P6_6_8,P6_6_9
2831,1,1,2,2,2,2,2,2,2,2,4,2,2,4,3,4,4,4,4,4,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1
2833,1,1,2,2,2,2,2,2,2,2,3,1,2,3,4,3,1,3,3,4,,,,,,1,1,1,1,1,1,2,1,1,2,2,2,2,1,1,1,2,2
3227,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,2,,,,,,1,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2
3229,1,1,2,2,2,2,2,2,2,2,1,3,2,3,4,2,3,2,3,4,,,,,,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1
3255,1,1,2,2,2,2,2,2,2,2,1,1,1,3,4,2,1,3,4,4,,,,,,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2,2
3258,1,1,2,2,2,2,2,2,2,2,2,1,2,3,4,2,2,3,2,4,,,,,,2,1,2,2,1,2,2,2,2,1,1,2,2,2,2,1,2,2
3271,1,1,2,2,2,2,2,2,2,2,1,2,1,3,4,3,3,4,4,4,,,,,,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1
3273,1,1,2,2,2,2,2,2,2,2,1,1,1,3,3,3,3,2,4,4,,,,,,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2
3571,1,1,2,2,2,2,2,2,2,2,3,1,2,3,4,3,3,3,3,4,,,,,,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1
3578,1,1,2,2,2,2,2,2,2,2,2,1,2,2,3,2,1,2,2,3,,,,,,1,2,2,2,1,2,2,2,2,1,2,2,2,1,1,2,2,2
3582,1,2,1,2,2,2,2,2,2,2,3,2,2,3,3,,,,,,3,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2
3602,2,2,1,2,2,2,1,2,2,2,,,,,,,,,,,2,1,2,3,3,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,2,2
3784,1,2,2,2,1,2,2,2,2,2,1,3,2,2,1,,,,,,2,3,3,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,2
